dt	solar	precp	temp_max	temp_min	evap	temp
Mon Jan 01 1990 00:00:00 GMT+0800 (CST)	5.82	2	19.9	14.7	1.8	16.5
Tue Jan 02 1990 00:00:00 GMT+0800 (CST)	7.55	1.5	20	14.2	4.6	16.2
Wed Jan 03 1990 00:00:00 GMT+0800 (CST)	6.49	0	19.8	13.1	3.1	15.6
Thu Jan 04 1990 00:00:00 GMT+0800 (CST)	14.19	0	21	10.6	8.7	14.7
Fri Jan 05 1990 00:00:00 GMT+0800 (CST)	14.49	0	23.8	9	9.8	15
Sat Jan 06 1990 00:00:00 GMT+0800 (CST)	12.63	0	22.8	12.4	8	16.7
Sun Jan 07 1990 00:00:00 GMT+0800 (CST)	5.59	0	20.6	13.2	1.2	16
Mon Jan 08 1990 00:00:00 GMT+0800 (CST)	9.65	0	23.7	12.8	5.8	18.2
Tue Jan 09 1990 00:00:00 GMT+0800 (CST)	12.22	2.5	25.9	15.7	5.9	19.5
Wed Jan 10 1990 00:00:00 GMT+0800 (CST)	15.24	0	28.1	12.8	9.7	18.9
Thu Jan 11 1990 00:00:00 GMT+0800 (CST)	12.99	0	24.8	13.8	7.3	17.3
Fri Jan 12 1990 00:00:00 GMT+0800 (CST)	10.8	0	23.9	15.6	8.3	18.1
Sat Jan 13 1990 00:00:00 GMT+0800 (CST)	11.81	0	23.2	15.4	6.6	17.8
Sun Jan 14 1990 00:00:00 GMT+0800 (CST)	11.57	0	24.9	15.9	6.9	18.8
Mon Jan 15 1990 00:00:00 GMT+0800 (CST)	9.94	3	25.9	14	4.9	18.6
Tue Jan 16 1990 00:00:00 GMT+0800 (CST)	3.42	1	14.7	12	0.1	13.1
Wed Jan 17 1990 00:00:00 GMT+0800 (CST)	11.6	0	21	12.4	7.9	15.8
Thu Jan 18 1990 00:00:00 GMT+0800 (CST)	13.94	0	23.7	12.4	9	17.3
Fri Jan 19 1990 00:00:00 GMT+0800 (CST)	8.57	5.5	22.4	14.4	3.5	16.9
Sat Jan 20 1990 00:00:00 GMT+0800 (CST)	10.73	0.5	20.6	12.8	5.3	15.6
Sun Jan 21 1990 00:00:00 GMT+0800 (CST)	3.34	1	17.4	14	0	15.4
